,displayName,grossProfitUSD,grossProfitMargin,revenueUSD,year,incomeTaxExpense
3,Samsung Electronics,64804902394,0.384600174,1.68499E+11,2015,5795011936
7,Samsung Electronics,68514651699,0.404172713,1.69518E+11,2016,6707579332
11,Samsung Electronics,92611945943,0.4603341,2.01184E+11,2017,11764287783
15,Samsung Electronics,93529199162,0.456891158,2.04708E+11,2018,14120535424
21,The Walt Disney Company,25639000000,0.460867846,55632000000,2015,5078000000
25,The Walt Disney Company,24831000000,0.450350944,55137000000,2016,4422000000
29,The Walt Disney Company,26708000000,0.449372413,59434000000,2017,1663000000
36,Macy's,10157000000,0.394018155,25778000000,2016,341000000
40,Macy's,9685000000,0.389942425,24837000000,2017,-29000000
44,Macy's,9756000000,0.390693204,24971000000,2018,322000000
50,Etsy,176520000,0.645413694,273499000,2015,26069000
54,Etsy,241639000,0.662084517,364967000,2016,27025000
58,Etsy,290245000,0.657807362,441231000,2017,-49535000
62,Etsy,412931000,0.684008262,603693000,2018,-22413000
64,Tesco,5175175262,0.065514297,78993067716,2012,-659043845.8
65,Tesco,-2631192065,-0.03390919,77595249324,2014,-818510031.6
67,Tesco,3555597610,0.052431429,67814241321,2015,-67274797.11
69,Tesco,3615397430,0.051898349,69663052412,2016,108387173.1
71,Tesco,4173529080,0.05826999,71623988165,2017,381223850.3
72,Tesco,5162713937,0.064840122,79622211572,2018,-441023670
73,Ocado,542309734.1,0.34248629,1583449471,2015,124582.9576
75,Ocado,628271895.1,0.344514285,1823645413,2017,0
77,Ocado,682091732.8,0.342444353,1991832326,2017,-622914.7881
81,Gap,5640000000,0.363495746,15516000000,2016,448000000
85,Gap,6066000000,0.382592242,15855000000,2017,576000000
89,Gap,6322000000,0.381302774,16580000000,2018,319000000
91,Target,21340000000,0.293866534,72618000000,2014,1204000000
95,Target,21788000000,0.295290371,73785000000,2015,1602000000
99,Target,20623000000,0.296755162,69495000000,2016,1296000000
103,Target,20754000000,0.288735236,71879000000,2017,718000000
107,Target,22057000000,0.292703965,75356000000,2018,746000000
110,Starbucks,11375200000,0.593611547,19162700000,2014,1143700000
111,Starbucks,12804800000,0.600715898,21315900000,2015,1379700000
115,Starbucks,13348600000,0.596271017,22386800000,2016,1432600000
119,Starbucks,14545000000,0.588401869,24719500000,2017,1262000000
127,Amazon,47722000000,0.350930604,1.35987E+11,2016,1425000000
132,Amazon,65932000000,0.370683548,1.77866E+11,2017,769000000
137,Amazon,93731000000,0.402474161,2.32887E+11,2018,1197000000
141,Reckitt Benckiser,7227056654,0.611919804,11810463744,2016,647831379.6
143,Reckitt Benckiser,8558849986,0.596768618,14341990719,2017,1113771641
144,Reckitt Benckiser,9511909213,0.606096706,15693715411,2018,667764652.8
145,Costco,15818000000,0.133238993,1.18719E+11,2015,1243000000
149,Costco,17143000000,0.132865724,1.29025E+11,2016,1325000000
153,Costco,18424000000,0.130135051,1.41576E+11,2017,1263000000
157,Walmart,1.20565E+11,0.248254405,4.85651E+11,2014,7985000000
161,Walmart,1.21146E+11,0.251272478,4.8213E+11,2015,6558000000
165,Walmart,1.24617E+11,0.256480603,4.85873E+11,2016,6204000000
169,Walmart,1.26947E+11,0.253719948,5.00343E+11,2017,4600000000
173,Walmart,1.29104E+11,0.250977343,5.14405E+11,2018,4281000000
176,Kroger,25835000000,0.223995769,1.15337E+11,2016,957000000
180,Kroger,27000000000,0.22011707,1.22662E+11,2017,-405000000
184,Kroger,26268000000,0.216800647,1.21162E+11,2018,900000000
186,Marks & Spencer,0,,12491684154,2012,106767594.7
187,Marks & Spencer,4822231943,0.375442513,12844128663,2013,113495074.4
188,Marks & Spencer,4965253776,0.386513955,12846247092,2014,147381638.9
190,Marks & Spencer,5143282822,0.391117343,13150229509,2015,105148016.2
192,Marks & Spencer,5092702142,0.384842779,13233201758,2016,75621855.28
194,Marks & Spencer,5042246044,0.378315978,13328133972,2017,46967775.02
195,Procter & Gamble,37403000000,0.490344656,76279000000,2014,2916000000
199,Procter & Gamble,32390000000,0.496025973,65299000000,2015,3342000000
203,Procter & Gamble,32523000000,0.499907775,65058000000,2016,3063000000
207,Procter & Gamble,32564000000,0.487251616,66832000000,2017,3465000000
211,Procter & Gamble,32916000000,0.486318775,67684000000,2018,0
212,Wayfair,807811000,0.238971885,3380360000,2016,608000
216,Wayfair,1118823000,0.236993833,4720895000,2017,486000
220,Wayfair,1586723000,0.234058456,6779174000,2018,2037000
222,Sainsbury's,1727965383,0.057914726,29836373397,2013,226740982.9
223,Sainsbury's,1504962766,0.050809694,29619598892,2014,117107980.2
225,Sainsbury's,1813926587,0.061941589,29284469859,2015,95928877.37
227,Sainsbury's,2035686644,0.062309367,32670636082,2016,156974526.6
229,Sainsbury's,2344651262,0.066137194,35451326420,2017,124582957.6
230,Sainsbury's,2500378763,0.069190163,36137777959,2018,-24916591.52
233,Caseys General Stores,1234259000,0.157425875,7840255000,2013,0
237,Caseys General Stores,1439785000,0.185366932,7767216000,2014,0
241,Caseys General Stores,1613621000,0.226565784,7122086000,2015,0
245,Caseys General Stores,1681161000,0.223958105,7506587000,2016,0
249,Caseys General Stores,1769393000,0.210864838,8391124000,2017,0
253,Caseys General Stores,1954724000,0.208996344,9352910000,2018,0
257,Sysco,9040472000,0.179492258,50366919000,2015,483385000
261,Sysco,10557507000,0.190668048,55371139000,2016,623727000
265,Sysco,11085391000,0.188760363,58727324000,2017,525458000
269,Sysco,11408987000,0.18978943,60113922000,2018,331565000
270,Tiffany & Co.,2491300000,0.606908816,4104900000,2015,246000000
274,Tiffany & Co.,2490300000,0.622294967,4001800000,2016,230500000
278,Tiffany & Co.,2604700000,0.624658257,4169800000,2017,390400000
282,Nike,14067000000,0.45969086,30601000000,2014,932000000
286,Nike,14971000000,0.462410427,32376000000,2015,863000000
290,Nike,15312000000,0.445764192,34350000000,2016,646000000
294,Nike,15956000000,0.438387779,36397000000,2017,2392000000
298,Nike,17474000000,0.446711149,39117000000,2018,772000000
300,3D Systems,267594000,0.521219322,513400000,2013,19887000
304,3D Systems,317434000,0.485631498,653652000,2014,5441000
308,3D Systems,291809000,0.438044443,666163000,2015,8972000
312,3D Systems,309751000,0.489365131,632965000,2016,-547000
316,3D Systems,304839000,0.471836599,646069000,2017,7802000
320,3D Systems,324394000,0.471736032,687660000,2018,2035000
323,Cintas,0,,4476886000,2015,244660000
324,Cintas,2101340000,0.438165117,4795772000,2015,256710000
325,Cintas,2380295000,0.447139703,5323381000,2016,230118000
328,Cintas,2908523000,0.449079552,6476632000,2017,57069000
332,Cintas,3864704000,0.560727525,6892303000,2018,219764000
333,Colgate Palmolive,0,,0,2011,1235000000
334,Colgate Palmolive,0,,0,2012,1243000000
336,Colgate Palmolive,10201000000,0.585591274,17420000000,2013,1155000000
340,Colgate Palmolive,10109000000,0.585113156,17277000000,2014,1194000000
344,Colgate Palmolive,9399000000,0.586191842,16034000000,2015,1215000000
348,Colgate Palmolive,9123000000,0.600394867,15195000000,2016,1152000000
352,Colgate Palmolive,9280000000,0.600491782,15454000000,2017,1313000000
356,Colgate Palmolive,9231000000,0.593862584,15544000000,2018,906000000
357,Coca-Cola European Partners,2555453600,0.365302575,6995443700,2015,144794300
361,Coca-Cola European Partners,3922709700,0.388590824,10094704900,2016,187901000
365,Coca-Cola European Partners,4741737000,0.387814138,12226828600,2017,520596300
372,Clorox,2356000000,0.427276025,5514000000,2013,305000000
376,Clorox,2465000000,0.435897436,5655000000,2014,315000000
380,Clorox,2598000000,0.450963374,5761000000,2015,335000000
384,Clorox,2671000000,0.447178972,5973000000,2016,330000000
388,Clorox,2675000000,0.436806009,6124000000,2017,0
394,Burlington Stores,2070202000,0.403560499,5129843000,2015,88394000
398,Burlington Stores,2293577000,0.410230283,5590950000,2016,117339000
402,Burlington Stores,2550885000,0.417490515,6110043000,2017,44128000
405,Johnson & Johnson,51585000000,0.693990394,74331000000,2014,4240000000
409,Johnson & Johnson,48538000000,0.692667751,70074000000,2015,3787000000
413,Johnson & Johnson,50205000000,0.698358603,71890000000,2016,3263000000
417,Johnson & Johnson,51096000000,0.668358404,76450000000,2017,16373000000
421,Johnson & Johnson,54490000000,0.66792513,81581000000,2018,2702000000
423,Best Buy,9194000000,0.232594616,39528000000,2015,503000000
427,Best Buy,9440000000,0.239575667,39403000000,2016,609000000
431,Best Buy,9876000000,0.234300491,42151000000,2017,818000000
435,Best Buy,9961000000,0.232304858,42879000000,2018,424000000
438,Dollar General,5435742000,0.310539885,17504167000,2013,603214000
441,Dollar General,5802507000,0.306855284,18909588000,2014,615516000
445,Dollar General,6306091000,0.309599225,20368562000,2015,687944000
449,Dollar General,6782638000,0.308489654,21986598000,2016,714495000
451,Dollar General,7221359000,0.307671985,23470967000,2017,368320000
454,Debenhams,375991445.8,0.148823936,2526417837,2010,-60048985.57
456,Debenhams,342229265,0.130853098,2615369989,2014,-29650743.91
458,Debenhams,365526397.7,0.12529359,2917359119,2015,24792008.57
460,Debenhams,329895671.8,0.113404711,2909012060,2016,12707461.68
463,Conn's,0,,1193769000,2013,53070000
